	TF BTL Small Studio-L		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
462.890625	3.62	170.02	0.98
468.750000	3.80	164.19	1.00
474.609375	3.92	158.40	0.99
480.468750	3.98	152.70	0.99
486.328125	3.99	147.11	1.00
492.187500	3.95	141.65	1.00
498.046875	3.87	136.36	0.99
503.906250	3.74	131.22	1.00
509.765625	3.57	126.27	1.00
515.625000	3.37	121.51	0.99
521.484375	3.13	116.97	0.99
527.343750	2.87	112.65	0.99
533.203125	2.59	108.59	0.97
539.062500	2.30	104.83	0.98
544.921875	2.01	101.40	0.99
550.781250	1.74	98.31	1.00
556.640625	1.50	95.58	0.99
562.500000	1.29	93.18	0.98
574.218750	1.13	91.08	0.88
585.937500	0.89	86.75	0.81
597.656250	0.85	82.58	0.90
609.375000	0.97	78.13	0.94
621.093750	1.17	73.19	0.96
632.812500	1.39	67.83	0.98
644.531250	1.60	62.16	0.99
656.250000	1.77	56.29	0.97
667.968750	1.89	50.27	0.93
679.687500	1.96	44.17	0.94
691.406250	1.97	38.04	0.98
703.125000	1.91	32.02	0.99
714.843750	1.78	26.27	0.99
726.562500	1.58	20.94	1.00
738.281250	1.34	16.18	0.99
750.000000	1.06	12.10	0.93
761.718750	0.78	8.73	0.75
773.437500	0.53	5.96	0.15
785.156250	0.32	3.56	0.87
796.875000	0.17	1.28	0.92
808.593750	0.07	-1.04	0.90
820.312500	-0.00	-3.46	0.92
832.031250	-0.04	-5.95	0.97
843.750000	-0.07	-8.45	0.99
855.468750	-0.07	-10.85	0.96
867.187500	-0.05	-13.10	0.92
878.906250	-0.00	-15.20	0.59
890.625000	0.08	-17.24	0.56
902.343750	0.21	-19.40	0.95
914.062500	0.36	-21.78	0.94
925.781250	0.53	-24.48	0.92
937.500000	0.70	-27.49	0.81
949.218750	0.85	-30.78	0.95
960.937500	0.97	-34.30	0.96
972.656250	1.05	-37.94	0.98
984.375000	1.08	-41.59	0.99
996.093750	1.07	-45.13	0.99
1007.812500	1.04	-48.49	0.96
1019.531250	0.98	-51.60	0.96
1031.250000	0.92	-54.44	0.96
1042.968750	0.87	-57.01	0.92
1054.687500	0.83	-59.36	0.50
1066.406250	0.82	-61.57	0.61
1078.125000	0.84	-63.73	0.85
1089.843750	0.88	-65.92	0.86
1101.562500	0.95	-68.19	0.98
1113.281250	1.03	-70.56	0.99
1125.000000	1.11	-73.04	0.98
1148.437500	1.19	-75.61	0.96
1171.875000	1.33	-81.45	0.97
1195.312500	1.39	-87.58	0.96
1218.750000	1.35	-93.73	0.98
1242.187500	1.21	-99.66	0.97
1265.625000	0.99	-105.25	0.93
1289.062500	0.72	-110.47	0.73
1312.500000	0.41	-115.38	0.80
1335.937500	0.09	-119.98	0.83
1359.375000	-0.22	-124.24	0.92
1382.812500	-0.50	-128.15	0.93
1406.250000	-0.76	-131.74	0.86
1429.687500	-0.97	-135.00	0.89
1453.125000	-1.15	-137.98	0.95
1476.562500	-1.27	-140.68	0.98
1500.000000	-1.32	-143.18	0.87
1523.437500	-1.31	-145.57	0.86
1546.875000	-1.24	-147.93	0.90
1570.312500	-1.11	-150.33	0.89
1593.750000	-0.93	-152.81	0.85
1617.187500	-0.70	-155.42	0.91
1640.625000	-0.45	-158.23	0.95
1664.062500	-0.19	-161.25	0.92
1687.500000	0.05	-164.48	0.92
1710.937500	0.28	-167.89	0.93
1734.375000	0.47	-171.42	0.93
1757.812500	0.61	-174.98	0.81
1781.250000	0.70	-178.51	0.56
1804.687500	0.76	178.06	0.87
1828.125000	0.78	174.75	0.95
1851.562500	0.77	171.59	0.92
1875.000000	0.74	168.62	0.92
1898.437500	0.71	165.84	0.74
1921.875000	0.68	163.25	0.66
1945.312500	0.67	160.82	0.86
1968.750000	0.68	158.48	0.71
1992.187500	0.71	156.19	0.89
2015.625000	0.77	153.88	0.94
2039.062500	0.84	151.53	0.91
2062.500000	0.92	149.12	0.92
2085.937500	1.02	146.68	0.95
2109.375000	1.12	144.21	0.98
2132.812500	1.22	141.73	0.95
2156.250000	1.33	139.24	0.82
2179.687500	1.44	136.74	0.52
2203.125000	1.54	134.22	0.86
2226.562500	1.62	131.69	0.96
2250.000000	1.68	129.21	0.95
2296.875000	1.72	126.82	0.98
2343.750000	1.75	121.85	0.92
2390.625000	1.70	117.68	0.77
2437.500000	1.60	114.51	0.52
2484.375000	1.49	112.22	0.83
2531.250000	1.38	110.62	0.83
2578.125000	1.30	109.43	0.36
2625.000000	1.26	108.29	0.59
2671.875000	1.26	106.81	0.89
2718.750000	1.29	104.87	0.95
2765.625000	1.35	102.54	0.94
2812.500000	1.42	99.93	0.86
2859.375000	1.49	97.19	0.84
2906.250000	1.54	94.47	0.91
2953.125000	1.57	91.91	0.71
3000.000000	1.58	89.59	0.77
3046.875000	1.57	87.56	0.58
3093.750000	1.55	85.80	0.51
3140.625000	1.54	84.22	0.71
3187.500000	1.53	82.75	0.66
3234.375000	1.52	81.37	0.51
